FID,CITY_NAME,CITY_ENG,OSTAN_NAME
415,گرمسار,Garmsar,سمنان
416,آرادان,Aradan,سمنان
417,فشم,Fesham,تهران
418,آبسرد,Absard,تهران
419,كيلان,Kilan,تهران
420,گزنك,Gazank,مازندران
421,غرق آباد,Gharqabad,مركزي
422,نوبران,Nowbaran,مركزي
423,دانسفهان,Danesfahan,قزوين
424,شال,Shal,قزوين
425,اسفرورين,Esfarvarin,قزوين
426,بوئين زهرا,Bueenzahra,قزوين
427,نرجه,Narjeh,قزوين
428,اشتهارد,Eshtehard,تهران
429,نظرآباد,Nazarabad,تهران
430,هشتگرد,Hashtgerd,تهران
431,كمال شهر,Kamalshahr,تهران
432,كرج,Karraj,تهران
433,مشكين دشت,Meshkindasht,تهران
434,محمدشهر,Mohammadshahr,تهران
435,ماهدشت,Mahdasht,تهران
436,صفادشت,Safadasht,تهران
437,نراق,Naraq,مركزي
438,كهك,Kahak,قم
439,سنجان,Senjan,مركزي
440,دستجرد,Dastjerd,قم
441,داودآباد,Davudabad,مركزي
442,مريانج,Maryanaj,همدان
443,جورقان,Joraqan,همدان
444,جوكار,Jowkar,همدان
445,توره,Tureh,مركزي
446,دمق,Damaq,همدان
447,زرين رود,Zarrinrud,زنجان
448,شيرين سو,Shirinsu,همدان
449,ضياءآباد,Ziyaabad,قزوين
450,حميل,Homeyl,كرمانشاه
451,معمولان,Mamulan,لرستان
452,چقابل,Cheqabol,لرستان
453,كوناني,Kunani,لرستان
454,توحيد,Towhid,ايلام
455,لومار,Lowmar,ايلام
456,دره شهر,Darrehshahr,ايلام
457,پهله,Pahleh,ايلام
458,كوزران,Kuzaran,كرمانشاه
459,كامياران,Kamyaran,كردستان
460,هلشي,Halashi,كرمانشاه
461,موچش,Muchesh,كردستان
462,شهميرزاد,Shahmirzad,سمنان
463,مهدي شهر,Mahdishahr,سمنان
464,سمنان,Semnan,سمنان
465,فيروزكوه,Firuzkuh,تهران
466,ارجمند,Arjmand,تهران
467,رينه,Rineh,مازندران
468,رازقان,Razqan,مركزي
469,نصيرآباد,Nasirabad,تهران
470,بيستون,Bisetun,كرمانشاه
471,صحنه,Sahneh,كرمانشاه
472,سنقر,Sonqor,كرمانشاه
473,سطر,Satar,كرمانشاه
474,ميان راهان,Miyanrahan,كرمانشاه
475,نورآباد,Nurabad,لرستان
476,هرسين,Harsin,كرمانشاه
477,كنگاور,Kangavar,كرمانشاه
478,صالح آباد,Salehabad,همدان
479,برزول,Barzul,همدان
480,فيروزان,Firuzan,همدان
481,قروه,Qorveh,كردستان
482,بيجار,Bijar,كردستان
483,دزج,Dezaj,كردستان
484,دلبران,Delbaran,كردستان
485,گرماب,Garmab,زنجان
486,گل تپه,Goltappeh,همدان
487,خنداب,Khandab,مركزي
488,گيان,Giyan,همدان
489,قنوات,Qanavat,قم
490,خرمدشت,Khorramdasht,قزوين
491,سرخه,Sorkheh,سمنان
492,نائين,Naeen,اصفهان
493,تودشك,Tudeshk,اصفهان
494,كوهپايه,Kuhpayeh,اصفهان
495,سگزي,Segzi,اصفهان
496,حبيب آباد,Habibabad,اصفهان
497,دولت آباد,Dowlatabad,اصفهان
498,دستگرد,Dastgerd,اصفهان
499,خورزوق,khorzuq,اصفهان
500,گز,Gaz-e Borkhar,اصفهان
501,خوراسگان,Khorasgan,اصفهان
502,خميني شهر,Khomeynishahr,اصفهان
503,گلدشت,Goldasht,اصفهان
504,تيران,Tiran,اصفهان
505,رضوانشهر,Rezvanshahr,اصفهان
506,چادگان,Chadegan,اصفهان
507,عسگران,Asgaran,اصفهان
508,رزوه,Rozveh,اصفهان
509,داران,Daran,اصفهان
510,فريدونشهر,Fereydunshahr,اصفهان
511,برف انبار,Barfanbar,اصفهان
512,حسينيه,Hoseyniyeh,خوزستان
513,آبدانان,Abdanan,ايلام
514,مورموري,Murmuri,ايلام
515,دهلران,Dehloran,ايلام
516,موسيان,Musiyan,ايلام
517,ايوان,Eyvan,ايلام
518,زرنه,Zarneh,ايلام
519,آسمان آباد,Asemanabad,ايلام
520,ايلام,Ilam,ايلام
521,چوار,Chovar,ايلام
522,مهران,Mehran,ايلام
523,سومار,Sumar,كرمانشاه
524,صالح آباد,Salehabad,ايلام
525,نجف آباد,Najafabad,اصفهان
526,شاهين شهر,Shahinshahr,اصفهان
527,كوشك,Keveshk,اصفهان
528,سرابله,Sarableh,ايلام
529,درب گنبد,Darb-e Gonbad,لرستان
530,كوهدشت,Kuhdasht,لرستان
531,گراب,Garab,لرستان
532,بدره,Badreh,ايلام
533,اركواز,Arkavaz,ايلام
534,ميمه,Meymeh,ايلام
535,پلدختر,Poldokhtar,لرستان
536,سپيددشت,Sepiddasht,لرستان
537,ويسيان,Veysiyan,لرستان
538,سراب دوره,Sarabdowreh,لرستان
539,الشتر,Alashtar,لرستان
540,فيروزآباد,Firuzabad,لرستان
541,زاغه,Zagheh,لرستان
542,چغلوندي,Chaghalvandi,لرستان
543,چالانچولان,Chalanchulan,لرستان
544,دورود,Dorud,لرستان
545,شازند,Shazand,مركزي
546,آستانه,Astaneh,مركزي
547,ازنا,Azna,لرستان
548,اليگودرز,Aligudarz,لرستان
549,قورچي باشي,Qurchibashi,مركزي
550,خمين,Khomeyn,مركزي
551,بوئين ومياندشت,Bueen va Miyandasht,اصفهان
552,افوس,Afus,اصفهان
553,دامنه,Damaneh,اصفهان
554,خوانسار,Khansar,اصفهان
555,گلپايگان,Golpayegan,اصفهان
556,گوگد,Gugad,اصفهان
557,گلشهر,Golshahr,اصفهان
558,محلات,Mahallat,مركزي
559,نيمور,Nimvar,مركزي
560,بروجرد,Borujerd,لرستان
561,دليجان,Delijan,مركزي
562,دهق,Dehaq,اصفهان
563,علويچه,Alavicheh,اصفهان
564,وزوان,Vezvan,اصفهان
565,ميمه,Meymeh,اصفهان
566,اردستان,Ardestan,اصفهان
567,زواره,Zavareh,اصفهان
568,مهاباد,Mahabad,اصفهان
569,بادرود,Badrud,اصفهان
570,خالدآباد,Khaledabad,اصفهان
571,نطنز,Natanz,اصفهان
572,قمصر,Qamsar,اصفهان
573,ابوزيدآباد,Abuzeydabad,اصفهان
574,كاشان,Kashan,اصفهان
575,ازگله,Azgeleh,كرمانشاه
576,سرپل ذهاب,Sarpol-e Zahab,كرمانشاه
577,كرندغرب,Kerend-e Gharb,كرمانشاه
578,گهواره,Gahvareh,كرمانشاه
579,تازه آباد,Tazehabad,كرمانشاه
580,باينگان,Bayangan,كرمانشاه
581,جوانرود,Javanrud,كرمانشاه
582,قصرشيرين,Qasreshirin,كرمانشاه
583,گيلانغرب,Gilanegharb,كرمانشاه
584,سرمست,Sarmast,كرمانشاه
585,اسلام آبادغرب,Eslamabad-e Gharb,كرمانشاه
586,روانسر,Ravansar,كرمانشاه
587,رباط,Robat,كرمانشاه
588,اسدآباد,Asadabad,همدان
589,نهاوند,Nahavand,همدان
590,فرسفج,Farsfaj,همدان
591,تويسركان,Tuyserkan,همدان
592,سركان,Serkan,همدان
593,لالجين,Lalehjin,همدان
594,بهار,Bahar,همدان
595,ازندريان,Azandariyan,همدان
596,سامن,Samen,همدان
597,اشترينان,Oshtorinan,لرستان
598,ملاير,Malayer,همدان
599,زنگنه,Zanganeh,همدان
600,قهاوند,Qahavand,همدان
601,ميلاجرد,Milajerd,مركزي
602,كميجان,Komijan,مركزي
603,مهاجران,Mohajeran,مركزي
604,فرمهين,Farmahin,مركزي
605,آشتيان,Ashtiyan,مركزي
606,تفرش,Tafresh,مركزي
607,جعفريه,Jafariyeh,قم
608,مشكات,Meshkat,اصفهان
609,سفيدشهر,Sefidshahr,اصفهان
610,مريوان,Marivan,كردستان
611,پاوه,Paveh,كرمانشاه
612,نودشه,Nodesheh,كرمانشاه
613,نوسود,Nowsud,كرمانشاه
614,آرمرده,Armardeh,كردستان
615,بوئين سفلي,Bueen-e Sofla,كردستان
616,بانه,Baneh,كردستان
617,سروآباد,Sarvabad,كردستان
618,چناره,Chenareh,كردستان
619,شويشه,Shoveysheh,كردستان
620,سنندج,Sanandaj,كردستان
621,ديواندره,Divandarreh,كردستان
622,دهگلان,Dehgolan,كردستان
623,بابارشاني,Babarshani,كردستان
624,سريش آباد,Serishabad,كردستان
625,كبودرآهنگ,Kabudarahang,همدان
626,فامنين,Famenin,همدان
627,قروه درجزين,Qorvehdarjazin,همدان
628,رزن,Razan,همدان
629,آوج,Avaj,قزوين
630,آبگرم,Abgarm,قزوين
631,سگزآباد,Sagzabad,قزوين
632,ساوه,Saveh,مركزي
633,مأمونيه,Mamuniyeh,مركزي
634,زاويه,Zaviyeh,مركزي
635,پرندك,Parandak,مركزي
636,شهرجديدهشتگرد,Shahr-e Jadid-e Hashtgerd,تهران
637,كوهسار,Kuhsar,تهران
638,چهارباغ,Chaharbagh,تهران
639,انديشه,Andisheh,تهران
640,شهريار,Shahriyar,تهران
641,ملارد,Malard,تهران
642,باغستان,Baghestan,تهران
643,خشكرود,Khoshkrud,مركزي
644,تنكمان,Tankaman,تهران
645,سيف آباد,Seyfabad,تهران
646,درجزين,Darjazin,سمنان
647,لاي بيد,Laybid,اصفهان
648,دلگشا,Delgosha,ايلام
649,گرگاب,Gorgab,اصفهان
650,قطور,Qotur,آذربايجان غربي
651,سهرورد,Sohrevard,زنجان
652,سلفچگان,Salafchegan,قم
653,قهجاورستان,Qahjaverestan,اصفهان
654,هشتجين,Hashtjin,اردبيل
655,آقكند,Aqkand,آذربايجان شرقي
656,فومن,Fuman,گيلان
657,مرجقل,Marjaqal,گيلان
658,بازارجمعه,Bazarjomeh,گيلان
659,كورائيم,Kurayim,اردبيل
660,گيوي,Givi,اردبيل
661,خلخال,Khalkhal,اردبيل
662,كلور,Kolur,اردبيل
663,هشتپر,Hashtpar,گيلان
664,اسالم,Asalem,گيلان
665,پره سر,Parehsar,گيلان
666,رضوانشهر,Rezvanshahr,گيلان
667,ماسال,Masal,گيلان
668,گوراب زرميخ,Gurabzarmikh,گيلان
669,صومعه سرا,Sumehsara,گيلان
670,شفت,Shaft,گيلان
671,احمدسرگوراب,Ahmad Sargurab,گيلان
672,چوبر,Chubar,گيلان
673,ماسوله,Masuleh,گيلان
674,زرنق,Zarnaq,آذربايجان شرقي
675,كليبر,Kalibar,آذربايجان شرقي
676,هوراند,Horand,آذربايجان شرقي
677,لاهرود,Lahrud,اردبيل
678,مشگين شهر,Meshginshahr,اردبيل
679,اهر,Ahar,آذربايجان شرقي
680,هريس,Haris,آذربايجان شرقي
681,ورزقان,Varzeqan,آذربايجان شرقي
682,مهربان,Mehraban,آذربايجان شرقي
683,كلوانق,Kelvanaq,آذربايجان شرقي
